"NewHyb_FinalAssignmentFACTOR","n","n_perc"
"JC",2844,83.3528722157093
"BC6JC",9,0.263774912075029
"BC5JC",0,0
"BC4JC",5,0.146541617819461
"BC3JC",0,0
"BC3JCxBC3JC",0,0
"BC2JCxBC3JC",6,0.175849941383353
"BC2JC",10,0.293083235638921
"BC2JCxBC2JC",0,0
"BCJCxBC3JC",12,0.351699882766706
"BCJCxBC2JC",2,0.0586166471277843
"BCJC",115,3.3704572098476
"BCJCxBCJC",21,0.615474794841735
"BC2JAxBC3JC",16,0.468933177022274
"F1",76,2.2274325908558
"F2",69,2.02227432590856
"BCJCxBCJA",19,0.556858147713951
"BC3JAxBC2JC",0,0
"BCJA",23,0.674091441969519
"BCJAxBCJA",6,0.175849941383353
"BCJAxBC2JA",0,0
"BCJAxBC3JA",0,0
"BC2JA",0,0
"BC2JAxBC2JA",0,0
"BC2JAxBC3JA",0,0
"BC3JA",0,0
"BC3JAxBC3JA",0,0
"BC4JA",0,0
"BC5JA",0,0
"BC6JA",0,0
"JA",30,0.879249706916764
"complexBCJC",108,3.16529894490035
"complexBCJA",16,0.468933177022274
"complexBCF",25,0.732708089097304
