"NAME_1","JC","complexBCJC","BC2JAxBC3JC","BCJA","BCJAxBCJA","BCJC","BCJCxBC3JC","BCJCxBCJA","BCJCxBCJC","F2","JA","BC2JC","BC2JCxBC3JC","BCJCxBC2JC","F1","complexBCF","complexBCJA","BC4JC","BC6JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"Alabama",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,6,16.6666666666667
"Arkansas",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964875,0,8,0
"Connecticut",2,3,1,1,2,4,1,2,2,4,0,0,0,0,0,0,0,0,0,0.649347681818182,20,22,90.9090909090909
"Delaware",2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6205,3,6,50
"Illinois",99,21,1,0,0,13,3,2,3,4,5,3,1,1,2,1,1,0,0,0.88629024375,56,160,35
"Indiana",91,9,1,3,1,9,1,0,1,11,1,2,1,0,1,1,1,1,0,0.885194303703704,43,135,31.8518518518519
"Iowa",13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.951265133333333,2,15,13.3333333333333
"Kentucky",20,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.947319041666667,4,24,16.6666666666667
"Maine",6,4,0,0,0,0,1,1,3,0,0,0,1,1,0,0,0,1,0,0.870849055555556,12,18,66.6666666666667
"Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718,0,1,0
"Michigan",24,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0.95538940625,8,32,25
"Minnesota",100,4,0,0,0,2,0,0,4,2,0,1,0,0,3,0,0,0,2,0.959356618644068,18,118,15.2542372881356
"Mississippi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999955,0,1,0
"Missouri",80,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.965785290697674,6,86,6.97674418604651
"Nebraska",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99995625,0,4,0
"New Brunswick",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965636363636,0,55,0
"New Hampshire",33,3,0,0,0,4,0,2,0,4,0,0,1,0,1,0,0,0,0,0.893476,15,48,31.25
"New Jersey",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6794035,2,4,50
"New York",42,3,3,0,0,4,0,2,1,2,0,1,0,0,1,0,1,0,0,0.8952919,18,60,30
"North Carolina",25,4,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842443,21,46,45.6521739130435
"Ohio",56,3,1,2,0,2,1,2,0,2,1,0,0,0,0,1,0,0,2,0.912320561643836,16,73,21.9178082191781
"Ontario",91,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9944895,5,96,5.20833333333333
"Pennsylvania",62,4,0,2,1,2,1,1,1,1,1,0,0,0,2,0,2,1,0,0.901317790123457,18,81,22.2222222222222
"Québec",54,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.983519178571429,2,56,3.57142857142857
"Tennessee",53,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.965789701754386,4,57,7.01754385964912
"Vermont",530,14,0,0,0,10,0,3,3,0,0,1,0,0,2,2,0,1,2,0.995052589788732,38,568,6.69014084507042
"Virginia",73,2,0,0,0,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0.967067219512195,9,82,10.9756097560976
"West Virginia",101,4,2,0,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0.95393141025641,15,117,12.8205128205128
"Wisconsin",164,7,1,1,0,7,2,0,0,7,4,1,1,0,0,0,0,1,1,0.94032247715736,29,197,14.7208121827411
